2020-06-11 05:02:43.810 --> new channel b'88fdf069cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:43.814 -x- closed channel b'88fdf069cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:43.933 --> new channel b'88fdf06acf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:43.937 -x- closed channel b'88fdf06acf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:44.768 --> new channel b'88fdf06bcf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:44.772 -x- closed channel b'88fdf06bcf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:44.891 --> new channel b'88fdf06ccf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:44.895 -x- closed channel b'88fdf06ccf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:45.530 --> new channel b'88fdf06dcf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:45.534 -x- closed channel b'88fdf06dcf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:45.653 --> new channel b'88fdf06ecf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:45.657 -x- closed channel b'88fdf06ecf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:46.648 --> new channel b'88fdf06fcf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:46.652 -x- closed channel b'88fdf06fcf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:46.772 --> new channel b'88fdf070cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:46.775 -x- closed channel b'88fdf070cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:47.406 --> new channel b'88fdf071cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:47.410 -x- closed channel b'88fdf071cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:47.529 --> new channel b'88fdf072cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:47.533 -x- closed channel b'88fdf072cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:48.427 --> new channel b'88fdf073cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:48.431 -x- closed channel b'88fdf073cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:48.775 --> new channel b'88fdf074cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:48.778 -x- closed channel b'88fdf074cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:49.537 --> new channel b'88fdf075cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:49.540 -x- closed channel b'88fdf075cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:49.659 --> new channel b'88fdf076cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:49.662 -x- closed channel b'88fdf076cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:50.130 --> new channel b'88fdf077cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:50.134 -x- closed channel b'88fdf077cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:50.253 --> new channel b'88fdf078cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:50.257 -x- closed channel b'88fdf078cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:51.310 --> new channel b'88fdf079cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:51.313 -x- closed channel b'88fdf079cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:51.432 --> new channel b'88fdf07acf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:51.436 -x- closed channel b'88fdf07acf6c46d7b3825d2b731ef3ac'
